epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.232,2.47835,3.6482,2.67276,0.0015,0.45,0.001,0.00015,2.76604,4.67732,3.06216,0.00036,0.00036,0.00036
2,189.445,1.76411,2.55333,2.07599,0.003,0.9,0.00592,0.0022,1.63683,4.09265,2.10838,0.00059348,0.00059348,0.00059348
3,278.81,1.77667,2.26249,1.77475,0.00333,1,0.02896,0.00676,2.14083,3.71968,2.51748,0.00067648,0.00067648,0.00067648
4,377.146,1.72063,2.14882,1.67839,0.33238,0.68873,0.29567,0.07297,2.47726,3.16142,2.50715,0.000609,0.000609,0.000609
5,482.412,1.58504,2.02633,1.57227,0.3658,0.65,0.32189,0.0816,2.4463,2.90105,2.2569,0.00039104,0.00039104,0.00039104
